season,episode_number,title,airdate,rating,total_votes,description,episode
1,01,Uno,2017-10-04,8.5,18386,Struggling public defender Jimmy McGill constructs an elaborate yet questionable plan for winning back a pair of wealthy potential clients.,"S1, Ep01"
1,02,Mijo,2015-02-09,8.9,17409,Jimmy's latest scam has gone horribly wrong and he's face-to-face with violent criminals and being forced to talk his way out of a life-threatening situation.,"S1, Ep02"
1,03,Nacho,2015-02-16,8.7,14709,Jimmy must prove that Nacho is innocent when he is wrongly suspected of kidnapping.,"S1, Ep03"
1,04,Hero,2015-02-23,8.4,13260,Jimmy makes a bold move against Hamlin in an effort to attract potential clients.,"S1, Ep04"
1,05,Alpine Shepherd Boy,2015-03-02,8.0,12759,"After a strange encounter with the police, Chuck ends up in the hospital. Jimmy meets up with a series of unruly clients.","S1, Ep05"
1,06,Five-O,2015-03-09,9.4,20156,Mike's days as a police officer in Philadelphia catch up to him when he's questioned about a tragic event from his past.,"S1, Ep06"
1,07,Bingo,2015-03-16,8.6,12165,The Kettlemans seek Jimmy as their lawyer after turning down an offer from HHM.,"S1, Ep07"
1,08,RICO,2015-03-23,8.7,11890,"Jimmy discovers the Sandpiper Retirement Home has been scamming his elderly clients, and prepares to take legal action.","S1, Ep08"
1,09,Pimento,2015-03-30,9.4,16170,Chuck wants to transfer the Sandpiper case to HHM much to Jimmy's dismay. Mike gets a job offer working as a bodyguard.,"S1, Ep09"
1,10,Marco,2015-04-06,8.6,12648,Jimmy seizes an opportunity to reconnect with an old friend; Chuck adjusts to a new way of life.,"S1, Ep10"
2,01,Switch,2016-02-15,8.3,10776,Jimmy decides to quit the law after turning down a job at Davis & Main. Mike breaks ties with a former associate.,"S2, Ep01"
2,02,Cobbler,2016-02-22,8.5,9923,"While Mike attempts to track down Pryce's stolen baseball cards, Jimmy must defend him when the police call him in for further questioning.","S2, Ep02"
2,03,Amarillo,2016-02-29,8.2,9490,Jimmy struggles with client outreach and decides to shoot a TV commercial for Davis & Main. Mike begins an investigation.,"S2, Ep03"
2,04,Gloves Off,2016-03-07,8.9,10315,Mike makes a deal with Nacho in regards to his newest job offer. Jimmy and Kim face the repercussions of the TV commercial.,"S2, Ep04"
2,05,Rebecca,2016-03-14,8.0,9407,Jimmy chafes under his restrictive work environment; Kim goes to extremes to dig herself from a bottomless hole at HHM.,"S2, Ep05"
2,06,Bali Ha'i,2016-03-21,8.4,9218,"Jimmy finds comfort in familiarity; Kim receives a life-changing proposal; when he is threatened, Mike finds himself pushed to the limit.","S2, Ep06"
2,07,Inflatable,2016-03-28,8.4,9140,"When Mike's hand is forced, he can no longer hide his frustration; Mike and Jimmy work together to keep the peace.","S2, Ep07"
2,08,Fifi,2016-04-04,8.3,9024,"Kim hopes to keep the Mesa Verde case, but HHM won't let it go without a fight. Mike stakes out the Salamanca's business.","S2, Ep08"
2,09,Nailed,2016-04-11,9.3,11442,Mike takes a methodical approach to his mission; someone questions Chuck's capabilities; Jimmy faces a personal dilemma.,"S2, Ep09"
2,10,Klick,2016-04-18,9.0,10369,Jimmy must make a hard choice; Mike takes control of matters; Hamlin delivers shocking news.,"S2, Ep10"
3,01,Mabel,2017-04-10,8.1,9924,"As Chuck plots his next move, another lie comes back to haunt Jimmy. A rattled Mike tries to find out who's been tracking his movements - and how.","S3, Ep01"
3,02,Witness,2017-04-17,9.0,10374,Jimmy and Kim hire an assistant; Mike seeks out a mysterious acquaintance; and Chuck uses the law to gain an advantage over Jimmy.,"S3, Ep02"
3,03,Sunk Costs,2017-04-24,8.5,9043,"Jimmy decides to represent a new client, much to Kim's dismay. Meanwhile, Mike meets a formidable ally who presents him an enticing offer.","S3, Ep03"
3,04,Sabrosito,2017-05-01,8.9,9832,"Jimmy calls in a favor from Mike. Meanwhile, new complications disrupt the Salamancas' business; and Chuck and Jimmy struggle to compromise.","S3, Ep04"
3,05,Chicanery,2017-05-08,9.7,20887,Kim and Jimmy face off with Chuck and Howard at the New Mexico Bar Association hearing.,"S3, Ep05"
3,06,Off Brand,2017-05-15,8.5,8899,"Needs must, so Jimmy is back in the commercial making business. Chuck pushes himself to the limit. Nacho finds himself ensnared in a power struggle.","S3, Ep06"
3,07,Expenses,2017-05-22,8.2,8642,Jimmy tries to settle his debts. Nacho reunites with an old acquaintance. Mike helps Stacey with a project and makes a meaningful connection.,"S3, Ep07"
3,08,Slip,2017-06-05,8.5,8583,Jimmy is pushed to desperate measures. Nacho picks up a skill and Mike explores an alliance. Kim stands up to Hamlin.,"S3, Ep08"
3,09,Fall,2017-06-12,8.8,8998,Jimmy visits Irene at Sandpiper Crossing to see how the class action lawsuit is going; Chuck and Howard spar over the future of the firm; and Kim faces challenges after deciding to take on a new client.,"S3, Ep09"
3,10,Lantern,2017-06-19,9.2,11155,"Kim resolves to take some time off from work, while Jimmy does his best to make amends; Nacho takes a major gamble with his future; Hamlin applies pressure on Chuck to finally make a decision.","S3, Ep10"
4,01,Smoke,2018-08-06,8.2,9274,Jimmy struggles to cope with Chuck's tragic incident. Mike ponders his role at Madrigal. Howard makes a startling confession.,"S4, Ep01"
4,02,Breathe,2018-08-13,8.8,9321,Jimmy seeks new employment. Gus navigates the fallout from Hector's collapse. Kim endeavors to support Jimmy in the wake of Chuck's death.,"S4, Ep02"
4,03,Something Beautiful,2018-08-20,8.5,8507,"Jimmy puts a risky plan into motion; as alliances shift, Nacho finds himself in the crosshairs; Kim contemplates her future.","S4, Ep03"
4,04,Talk,2018-08-27,8.2,8378,A restless Jimmy embarks on a new endeavor while Mike burns bridges; Kim pursues her bliss; Nacho tries to survive a turf war.,"S4, Ep04"
4,05,Quite a Ride,2018-09-03,8.5,8471,Jimmy identifies a new market for his talents; Mike vets a potential partnership; Kim drives a hard bargain.,"S4, Ep05"
4,06,Piñata,2018-09-10,8.5,8328,"While Jimmy daydreams about reconstituting Wexler-McGill, Kim sets out to secure her own future; Mike puts a plan into motion for Gus.","S4, Ep06"
